b'BLOCKS1992.nc',b'1297',b'SI'
b'BLOCKS1980.nc',b'149',b'NP'
b'BLOCKS1980.nc',b'1030',b'NA'
b'BLOCKS1980.nc',b'176',b'NP'
b'BLOCKS1993.nc',b'1285',b'SA'
b'BLOCKS2011.nc',b'642',b'SI'
b'BLOCKS1990.nc',b'514',b'SA'
b'BLOCKS1997.nc',b'642',b'SI'
b'BLOCKS2011.nc',b'714',b'SA'
b'BLOCKS1984.nc',b'188',b'NA'
b'BLOCKS2006.nc',b'439',b'SA'
b'BLOCKS1997.nc',b'702',b'NA'
b'BLOCKS1994.nc',b'209',b'SP'
b'BLOCKS1993.nc',b'309',b'NC'
b'BLOCKS2016.nc',b'983',b'NA'
b'BLOCKS2004.nc',b'576',b'NP'
b'BLOCKS1992.nc',b'654',b'SP'
b'BLOCKS2010.nc',b'1275',b'NP'
b'BLOCKS2011.nc',b'1237',b'SP'
b'BLOCKS2000.nc',b'677',b'SA'
b'BLOCKS2000.nc',b'1007',b'NP'
b'BLOCKS1988.nc',b'979',b'NP'
b'BLOCKS2009.nc',b'445',b'SP'
b'BLOCKS1993.nc',b'1047',b'SP'
b'BLOCKS2005.nc',b'866',b'NA'
b'BLOCKS2016.nc',b'1296',b'NA'
b'BLOCKS1997.nc',b'563',b'NP'
b'BLOCKS1991.nc',b'652',b'SA'
b'BLOCKS2007.nc',b'1413',b'SA'
b'BLOCKS2015.nc',b'711',b'SP'
b'BLOCKS1988.nc',b'984',b'NP'
b'BLOCKS2000.nc',b'366',b'NA'
b'BLOCKS1988.nc',b'1443',b'NP'
b'BLOCKS1989.nc',b'853',b'NC'
b'BLOCKS2006.nc',b'1009',b'NC'
b'BLOCKS2011.nc',b'416',b'SP'
b'BLOCKS1998.nc',b'444',b'NP'
b'BLOCKS2005.nc',b'236',b'NC'
b'BLOCKS1991.nc',b'1166',b'NC'
b'BLOCKS2000.nc',b'543',b'SP'
b'BLOCKS2012.nc',b'491',b'NP'
b'BLOCKS1991.nc',b'401',b'SI'
b'BLOCKS1991.nc',b'44',b'NC'
b'BLOCKS1991.nc',b'1173',b'NP'
b'BLOCKS1985.nc',b'1288',b'NP'
b'BLOCKS2015.nc',b'405',b'SI'
b'BLOCKS1984.nc',b'163',b'NA'
b'BLOCKS1995.nc',b'88',b'SI'
b'BLOCKS2009.nc',b'60',b'NP'
b'BLOCKS2016.nc',b'1110',b'SI'
b'BLOCKS2012.nc',b'1456',b'NC'
b'BLOCKS2013.nc',b'53',b'SA'
b'BLOCKS2002.nc',b'159',b'NP'
b'BLOCKS1984.nc',b'575',b'SA'
b'BLOCKS2005.nc',b'1241',b'SA'
b'BLOCKS1992.nc',b'1417',b'SP'
b'BLOCKS2008.nc',b'391',b'NP'
b'BLOCKS2005.nc',b'1317',b'NA'
b'BLOCKS1991.nc',b'822',b'SP'
b'BLOCKS1987.nc',b'300',b'SP'
b'BLOCKS1984.nc',b'348',b'SA'
b'BLOCKS1995.nc',b'1415',b'SI'
b'BLOCKS2007.nc',b'626',b'NA'
b'BLOCKS1998.nc',b'214',b'NC'
b'BLOCKS1981.nc',b'301',b'SA'
b'BLOCKS1990.nc',b'361',b'SA'
b'BLOCKS1988.nc',b'701',b'NA'
b'BLOCKS2002.nc',b'475',b'NP'
b'BLOCKS2000.nc',b'1062',b'NA'
b'BLOCKS1991.nc',b'248',b'NP'
